Player,Pos,School,Con
Fernando Mendoza,QB,Indiana,1
Arvell Reese,LB,Ohio State,2
David Bailey,EDGE,Texas Tech,3
Jeremiyah Love,RB,Notre Dame,4
Sonny Styles,LB,Ohio State,5
Caleb Downs,S,Ohio State,6
Francis Mauigoa,OT,Miami (FL),7
Carnell Tate,WR,Ohio State,8
Rueben Bain,EDGE,Miami (FL),9
Mansoor Delane,CB,LSU,10
Jordyn Tyson,WR,Arizona State,11
Spencer Fano,OT,Utah,12
Makai Lemon,WR,USC,13
Monroe Freeling,OT,Georgia,14
Olaivavega Ioane,IOL,Penn State,15
Kenyon Sadiq,TE,Oregon,16
Jermod McCoy,CB,Tennessee,17
Dillon Thieneman,S,Oregon,18
Kadyn Proctor,OT,Alabama,19
Keldric Faulk,EDGE,Auburn,20
Akheem Mesidor,EDGE,Miami (FL),21
Omar Cooper Jr.,WR,Indiana,22
Kevin Concepcion,WR,Texas A&M,23
Blake Miller,OT,Clemson,24
Denzel Boston,WR,Washington,25
Emmanuel McNeil-Warren,S,Toledo,26
Caleb Lomu,OT,Utah,27
Kayden McDonald,DL,Ohio State,28
Max Iheanachor,OT,Arizona State,29
Peter Woods,DL,Clemson,30
T.J. Parker,EDGE,Clemson,31
Ty Simpson,QB,Alabama,32
Colton Hood,CB,Tennessee,33
Cashius Howell,EDGE,Texas A&M,34
Chris Johnson,CB,San Diego State,35
Avieon Terrell,CB,Clemson,36
Malachi Lawrence,EDGE,UCF,37
C.J. Allen,LB,Georgia,38
Zion Young,EDGE,Missouri,39
Chase Bisontis,IOL,Texas A&M,40
Jacob Rodriguez,LB,Texas Tech,41
Emmanuel Pregnon,IOL,Oregon,42
Jadarian Price,RB,Notre Dame,43
Caleb Banks,DL,Florida,44
Brandon Cisse,CB,South Carolina,45
Christen Miller,DL,Georgia,46
R Mason Thomas,EDGE,Oklahoma,47
Eli Stowers,TE,Vanderbilt,48
Anthony Hill Jr.,LB,Texas,49
Gabe Jacas,EDGE,Illinois,50
Keylan Rutledge,IOL,Georgia Tech,51
Treydan Stukes,CB,Arizona,52
D'angelo Ponds,CB,Indiana,53
Chris Bell,WR,Louisville,54
Lee Hunter,DL,Texas Tech,55
Germie Bernard,WR,Alabama,56
Chris Brazzell,WR,Tennessee,57
Jake Golday,LB,Cincinnati,58
A.J. Haulcy,S,LSU,59
Derrick Moore,EDGE,Michigan,60
Josiah Trotter,LB,Missouri,61
Gennings Dunker,OT,Iowa,62
Mike Washington Jr.,RB,Arkansas,63
Keionte Scott,CB,Miami (FL),64
Zachariah Branch,WR,Georgia,65
Caleb Tiernan,OT,Northwestern,66
Keith Abney II,CB,Arizona State,67
Domonique Orange,DL,Iowa State,68
Antonio Williams,WR,Clemson,69
Max Klare,TE,Ohio State,70
Kyle Louis,LB,Pittsburgh,71
Dani Dennis-Sutton,EDGE,Penn State,72
Ted Hurst,WR,Georgia State,73
Connor Lew,IOL,Auburn,74
Elijah Sarratt,WR,Indiana,75
Malachi Fields,WR,Notre Dame,76
Romello Height,EDGE,Texas Tech,77
Jalon Kilgore,S,South Carolina,78
Davison Igbinosun,CB,Ohio State,79
Gracen Halton,DL,Oklahoma,80
Bryce Lance,WR,North Dakota State,81
Skyler Bell,WR,UConn,82
Garrett Nussmeier,QB,LSU,83
Malik Muhammad,CB,Texas,84
Keyron Crawford,EDGE,Auburn,85
Bud Clark,S,TCU,86
Joshua Josephs,EDGE,Tennessee,87
Jaishawn Barham,LB,Michigan,88
Sam Hecht,IOL,Kansas State,89
Oscar Delp,TE,Georgia,90
De'Zhaun Stribling,WR,Mississippi,91
Logan Jones,IOL,Iowa,92
Kamari Ramsey,S,USC,93
Zakee Wheatley,S,Penn State,94
Jonah Coleman,RB,Washington,95
Jake Slaughter,IOL,Florida,96
Markel Bell,OT,Miami (FL),97
Jalen Farmer,IOL,Kentucky,98
Darrell Jackson Jr.,DL,Florida State,99
Carson Beck,QB,Miami (FL),100
Deion Burks,WR,Oklahoma,101
Daylen Everette,CB,Georgia,102
Chandler Rivers,CB,Duke,103
Devin Moore,CB,Florida,104
Emmett Johnson,RB,Nebraska,105
Drew Allar,QB,Penn State,106
Julian Neal,CB,Arkansas,107
Sam Roush,TE,Stanford,108
Genesis Smith,S,Arizona,109
Brian Parker II,OT,Duke,110
Brenen Thompson,WR,Mississippi State,111
Dametrious Crownover,OT,Texas A&M,112
Justin Joly,TE,NC State,113
L.T. Overton,EDGE,Alabama,114
Austin Barber,OT,Florida,115
Eli Raridon,TE,Notre Dame,116
Kaleb Proctor,DL,Southeastern Louisiana,117
Deontae Lawson,LB,Alabama,118
Kaleb Elarms-Orr,LB,TCU,119
Ja'Kobi Lane,WR,USC,120
Tyler Onyedim,DL,Texas A&M,121
Travis Burke,OT,Memphis,122
Will Lee III,CB,Texas A&M,123
Chris McClellan,DL,Missouri,124
Kage Casey,OT,Boise State,125
Cole Payton,QB,North Dakota State,126
Trey Zuhn III,OT,Texas A&M,127
VJ Payne,S,Kansas State,128
Michael Trigg,TE,Baylor,129
Drew Shelton,OT,Penn State,130
Tacario Davis,CB,Washington,131
Jude Bowry,OT,Boston College,132
Rayshaun Benny,DL,Michigan,133
Ephesians Prysock,CB,Washington,134
Zane Durant,DL,Penn State,135
Zxavian Harris,DL,Mississippi,136
Anthony Lucas,EDGE,USC,137
Nick Singleton,RB,Penn State,138
Billy Schrauth,IOL,Notre Dame,139
Bryce Boettcher,LB,Oregon,140
