CONSENSUS MASTER INGEST AUDIT — 2026-04-24T08:09:26+00:00

Source: consensus_master_2026 | Weight: 10.0 | Players in CSV: 741
Matched: 552 | Unmatched: 189
source_players inserted: 0 | source_rankings inserted: 0 | SPM inserted: 0

=== UNMATCHED PLAYERS (not in active prospect universe — no DB write) ===
  rank=  23 | Kevin Concepcion                    | WR     | Texas A&M
  rank= 138 | Nick Singleton                      | RB     | Penn State
  rank= 264 | Jamarion Miller                     | RB     | Alabama
  rank= 346 | Zach Durfee                         | EDGE   | Washington
  rank= 360 | Uar Bernard                         | DL     | Nigeria
  rank= 379 | Shadrach Banks                      | LB     | UTSA
  rank= 381 | Max Tomzcak                         | WR     | Youngstown State
  rank= 383 | Jayden Loving                       | DL     | Wake Forest
  rank= 395 | Bryce Phillips                      | CB     | San Diego State
  rank= 404 | Bakyne Coly                         | OT     | Purdue
  rank= 410 | Luke Basso                          | LS     | Oregon
  rank= 411 | Beau Gardner                        | LS     | Georgia
  rank= 415 | Joshua Weru                         | EDGE   | Kenya
  rank= 420 | Nick Degennaro                      | WR     | James Madison
  rank= 421 | Kansei Matsuzawa                    | K      | Hawaii
  rank= 433 | Cameron Dorner                      | WR     | North Texas
  rank= 440 | Thomas Castellanos                  | QB     | Florida State
  rank= 441 | Jacob Rizy                          | IOL    | Florida State
  rank= 444 | Jerry Wilson                        | CB     | Florida State
  rank= 449 | Tyler Duzansky                      | LS     | Penn State
  rank= 452 | Tamarion Crumpley                   | CB     | UAB
  rank= 461 | Jordan Crook                        | LB     | Arizona State
  rank= 469 | Alex Wollschlaeger                  | OT     | Kentucky
  rank= 474 | Joseph Manjack IV                   | WR     | TCU
  rank= 475 | Sieh Bangura                        | RB     | Ohio
  rank= 477 | Ethan Hurkett                       | EDGE   | Iowa
  rank= 479 | Tawee Walker                        | RB     | Cincinnati
  rank= 481 | Trevonte Sylvester                  | OT     | Louisville
  rank= 496 | Tanner Wall                         | S      | BYU
  rank= 499 | Rodney Shelley                      | CB     | Georgia Tech
  rank= 505 | Dominic Deluca                      | LB     | Penn State
  rank= 513 | Zaylin Wood                         | DL     | Vanderbilt
  rank= 517 | Omari Evans                         | WR     | Washington
  rank= 520 | Rocco Underwood                     | LS     | Florida
