score,tier,sources_covered,display_name,full_name,school_canonical,position_group,prospect_key,prospect_id,reason_chips
98.9716,Elite,12,Fernando Mendoza,Fernando Mendoza,Indiana,QB,p2026_dba0c5812d55a88e,1,100% coverage; Tight consensus; 12 sources top-10
97.9973,Elite,12,Caleb Downs,Caleb Downs,Ohio State,S,p2026_3f8ef9fa0196a552,5,100% coverage; Tight consensus; 12 sources top-10
96.6322,Elite,12,Jeremiyah Love,Jeremiyah Love,Notre Dame,RB,p2026_a76ab34555d651a9,6,100% coverage; Tight consensus; 11 sources top-10
95.8258,Elite,12,David Bailey,David Bailey,Texas Tech,EDGE,p2026_751a0fb5de67a568,4,100% coverage; Tight consensus; 9 sources top-10
94.9119,Elite,12,Carnell Tate,Carnell Tate,Ohio State,WR,p2026_bf9006fd3e722ea7,7,100% coverage; Tight consensus; 10 sources top-10
94.7799,Elite,12,Spencer Fano,Spencer Fano,Utah,OL,p2026_e09a3d84fdb832a8,18,100% coverage; Tight consensus; 6 sources top-10
90.6648,Elite,11,Mansoor Delane,Mansoor Delane,LSU,CB,p2026_85ce845b78d4fb46,10,92% coverage; Tight consensus; 7 sources top-10
90.2269,Elite,10,Arvell Reese,Arvell Reese,Ohio State,LB,p2026_045ea980e83f305f,3,83% coverage; Tight consensus; 10 sources top-10
88.5806,Strong,11,Jermod Mccoy,Jermod Mccoy,Tennessee,CB,p2026_2163cc132b03dd54,12,92% coverage; Tight consensus; Median rank ≤ 25
87.628,Strong,11,Jordyn Tyson,Jordyn Tyson,Arizona State,WR,p2026_085326fbe8fb5f79,14,92% coverage; Tight consensus; 4 sources top-10
87.3677,Strong,10,Sonny Styles,Sonny Styles,Ohio State,LB,p2026_78f52412e2a49fa7,8,83% coverage; Moderate variance; 7 sources top-10
87.1579,Strong,11,Makai Lemon,Makai Lemon,USC,WR,p2026_047d2d00c402b224,9,92% coverage; Moderate variance; 5 sources top-10
85.7256,Strong,11,Kenyon Sadiq,Kenyon Sadiq,Oregon,TE,p2026_2e11e91474c8ab6a,24,92% coverage; Tight consensus; Median rank ≤ 25
85.6107,Strong,12,KC Concepcion,KC Concepcion,Texas A&M,WR,p2026_2e994cb9415d6f2b,28,100% coverage; Moderate variance; Median rank ≤ 50
83.7979,Strong,12,Caleb Lomu,Caleb Lomu,Utah,OL,p2026_13dd2e5ef01c6595,29,100% coverage; Moderate variance; Median rank ≤ 50
83.0711,Strong,11,CJ Allen,CJ Allen,Georgia,LB,p2026_9ca568a57b8e0b3f,27,92% coverage; Moderate variance; Median rank ≤ 50
82.9307,Strong,11,Keldric Faulk,Keldric Faulk,Auburn,EDGE,p2026_610c9589021238bf,16,92% coverage; Moderate variance; Median rank ≤ 25
82.6102,Strong,11,Denzel Boston,Denzel Boston,Washington,WR,p2026_5e1f822b566cea5d,20,92% coverage; Moderate variance; Median rank ≤ 25
82.17,Strong,11,Kadyn Proctor,Kadyn Proctor,Alabama,OL,p2026_4f1c71b2abbdb108,25,92% coverage; Moderate variance; Median rank ≤ 25
82.0819,Strong,10,Avieon Terrell,Avieon Terrell,Clemson,CB,p2026_76f58f29cb85647f,19,83% coverage; Moderate variance; Median rank ≤ 25
80.2292,Strong,11,Cashius Howell,Cashius Howell,Texas A&M,EDGE,p2026_a0924c5b0378d257,15,92% coverage; Moderate variance; Median rank ≤ 25
79.6223,Playable,10,Colton Hood,Colton Hood,Tennessee,CB,p2026_098e231465b72ff1,48,83% coverage; Moderate variance; Median rank ≤ 50
79.5919,Playable,11,Monroe Freeling,Monroe Freeling,Georgia,OL,p2026_a8ae7bf2d78f101f,31,92% coverage; Moderate variance; Median rank ≤ 50
