score,tier,sources_covered,display_name,full_name,school_canonical,position_group,prospect_key,prospect_id,reason_chips
98.9716,Elite,12,Fernando Mendoza,Fernando Mendoza,Indiana,QB,p2026_dba0c5812d55a88e,1,100% coverage; Tight consensus; 12 sources top-10
76.83,Playable,11,Ty Simpson,Ty Simpson,Alabama,QB,p2026_1dca8f26a6560f4b,34,92% coverage; Moderate variance; Median rank ≤ 50
51.1899,Watch,10,Garrett Nussmeier,Garrett Nussmeier,LSU,QB,p2026_8a4e4044b10e5a3b,80,83% coverage; Wide variance
43.445,Watch,9,Drew Allar,Drew Allar,Penn State,QB,p2026_b2e4007b50782b65,139,75% coverage; Wide variance
41.2105,Watch,7,Cade Klubnik,Cade Klubnik,Clemson,QB,p2026_37dda63ec9a9f97c,137,58% coverage; Wide variance
31.7145,Watch,9,Sawyer Robertson,Sawyer Robertson,Baylor,QB,p2026_791d6f8da7acc663,241,75% coverage; Wide variance
29.3823,Watch,7,Jalon Daniels,Jalon Daniels,Kansas,QB,p2026_c05173aa03aca65e,194,58% coverage; Wide variance
28.9003,Watch,6,Taylen Green,Taylen Green,Arkansas,QB,p2026_c0771d2c927a8b35,227,50% coverage; Wide variance
28.5696,Watch,6,Cole Payton,Cole Payton,North Dakota State,QB,p2026_0c9a78af392a8006,248,50% coverage; Tight consensus
28.4035,Watch,7,Luke Altmyer,Luke Altmyer,Illinois,QB,p2026_a69610db22ec4816,237,58% coverage; Moderate variance
27.2921,Watch,7,Diego Pavia,Diego Pavia,Vanderbilt,QB,p2026_8a11be4446fc7eca,258,58% coverage; Wide variance
23.9411,Watch,6,Joey Aguilar,Joey Aguilar,Tennessee,QB,p2026_c239f0698f379856,245,50% coverage; Moderate variance
20.8574,Watch,7,Haynes King,Haynes King,Georgia Tech,QB,p2026_b9a5bb12d80d2cdf,244,58% coverage; Wide variance
17.4092,Watch,6,Behren Morton,Behren Morton,Texas Tech,QB,p2026_3c1771687393a8fa,303,50% coverage; Wide variance
