normalized_name,display_name,pos,school,in_ras,in_jfoster,ras_score,jfoster_rank,season_id
a'marion mccoy,A'Marion McCoy,CB,Boise State,1,1,,?,1
a.j. haulcy,A.J. Haulcy,SS,Louisiana State,1,1,,98,1
a.j. pena,A.J. Pena,LB,Rhode Island,1,0,,,1
aamil wagner,Aamil Wagner,OT,Notre Dame,1,1,8.37,158,1
aaron anderson,Aaron Anderson,WR,Louisiana State,1,1,,207,1
aaron graves,Aaron Graves,DT,Iowa,1,1,,199,1
aaron hall,Aaron Hall,DT,Duke,1,1,,?,1
abraham williams,Abraham Williams,CB,New Mexico,0,1,,?,1
adam dolan,Adam Dolan,OT,Ball State,0,1,,?,1
adam randall,Adam Randall,RB,Clemson,1,1,9.49,254,1
adrian hawkins,Adrian Hawkins,OT,South Dakota,0,1,,?,1
adrian medley,Adrian Medley,OG,Florida State,1,0,,,1
ahmaad moses,Ahmaad Moses,FS,Southern Methodist,1,1,,?,1
ahmari harvey,Ahmari Harvey,CB,Georgia Tech,1,1,,?,1
aidan gousby,Aidan Gousby,S,Minnesota,0,1,,?,1
aidan hubbard,Aidan Hubbard,DE,Northwestern,1,1,,?,1
aidan laros,Aidan Laros,P,Kentucky,1,0,,,1
aiden fisher,Aiden Fisher,LB,Indiana,1,1,,107,1
aj mccarty,AJ McCarty,CB,Texas Tech,0,1,,?,1
akelo stone,Akelo Stone,DT,Georgia Tech,1,0,,,1
akheem mesidor,Akheem Mesidor,DE,Miami,1,1,,54,1
al'zillion hamilton,Al'zillion Hamilton,CB,Fresno State,1,1,,173,1
al-jay henderson,Al-Jay Henderson,RB,Buffalo,1,1,,?,1
alan herron,Alan Herron,OT,Maryland,1,1,5.46,?,1
albert reese iv,Albert Reese IV,OT,Mississippi State,0,1,,?,1
albert regis,Albert Regis,DT,Texas A&M,1,1,8.33,119,1
alex afari jr.,Alex Afari Jr.,LB,Kentucky,1,1,,?,1
alex harkey,Alex Harkey,OT,Oregon,1,1,,223,1
amari niblack,Amari Niblack,TE,Texas A&M,1,1,,?,1
andre fuller,Andre Fuller,CB,Toledo,1,1,9.19,?,1
andrel anthony,Andrel Anthony,WR,Duke,0,1,,?,1
andrew jones,Andrew Jones,LB,Ole Miss,0,1,,?,1
andrew simpson,Andrew Simpson,LB,North Carolina,1,1,,?,1
anez cooper,Anez Cooper,OG,Miami,1,1,,136,1
angel johnson,Angel Johnson,HB,Washington State,0,1,,?,1
ansel din-mbuh,Ansel Din-Mbuh,DT,TCU,1,0,,,1
anterio thompson,Anterio Thompson,DL,Washington,0,1,,?,1
anthony dunn jr.,Anthony Dunn Jr.,ED,Toledo,1,0,,,1
