source_player_id,raw_full_name,raw_school,school_canonical,pos_hint,name_key,reason,status,resolved_prospect_id,candidate_json
459,WR Jordyn Tyson,,,WR,jordyntyson,ambiguous_name_key_2,open,,"[{""prospect_id"": 14, ""display_name"": ""Jordyn Tyson"", ""position_group"": ""WR"", ""school_canonical"": ""Arizona State""}, {""prospect_id"": 705, ""display_name"": ""Jordyn Tyson"", ""position_group"": ""WR"", ""school_canonical"": ""Arizona St.""}]"
478,DT Dontay Corleone,,,DT,dontaycorleone,ambiguous_name_key_2,open,,"[{""prospect_id"": 58, ""display_name"": ""Dontay Corleone"", ""position_group"": ""LB"", ""school_canonical"": ""Cincinnati""}, {""prospect_id"": 453, ""display_name"": ""Dontay Corleone"", ""position_group"": ""DT"", ""school_canonical"": ""Cincinnati""}]"
487,CB Chris Johnson,,,CB,chrisjohnson,ambiguous_name_key_2,open,,"[{""prospect_id"": 59, ""display_name"": ""Chris Johnson"", ""position_group"": ""CB"", ""school_canonical"": ""San Diego State""}, {""prospect_id"": 711, ""display_name"": ""Chris Johnson"", ""position_group"": ""CB"", ""school_canonical"": ""San Diego St.""}]"
493,CB Keith Abney II,,,CB,keithabney,ambiguous_name_key_2,open,,"[{""prospect_id"": 36, ""display_name"": ""Keith Abney"", ""position_group"": ""CB"", ""school_canonical"": ""Arizona State""}, {""prospect_id"": 709, ""display_name"": ""Keith Abney"", ""position_group"": ""CB"", ""school_canonical"": ""Arizona St.""}]"
527,OT Max Iheanachor,,,OT,maxiheanachor,ambiguous_name_key_2,open,,"[{""prospect_id"": 47, ""display_name"": ""Max Iheanachor"", ""position_group"": ""OL"", ""school_canonical"": ""Arizona State""}, {""prospect_id"": 707, ""display_name"": ""Max Iheanachor"", ""position_group"": ""OL"", ""school_canonical"": ""Arizona St.""}]"
531,WR Skyler Bell,,,WR,skylerbell,ambiguous_name_key_2,open,,"[{""prospect_id"": 79, ""display_name"": ""Skyler Bell"", ""position_group"": ""WR"", ""school_canonical"": ""Connecticut""}, {""prospect_id"": 462, ""display_name"": ""Skyler Bell"", ""position_group"": ""WR"", ""school_canonical"": ""UConn""}]"
537,WR Brenen Thompson,,,WR,brenenthompson,ambiguous_name_key_2,open,,"[{""prospect_id"": 124, ""display_name"": ""Brenen Thompson"", ""position_group"": ""WR"", ""school_canonical"": ""Mississippi State""}, {""prospect_id"": 712, ""display_name"": ""Brenen Thompson"", ""position_group"": ""WR"", ""school_canonical"": ""Miss. State""}]"
540,DT Darrell Jackson Jr.,,,DT,darrelljackson,ambiguous_name_key_2,open,,"[{""prospect_id"": 87, ""display_name"": ""Darrell Jackson"", ""position_group"": ""LB"", ""school_canonical"": ""Florida State""}, {""prospect_id"": 464, ""display_name"": ""Darrell Jackson"", ""position_group"": ""DT"", ""school_canonical"": ""Florida State""}]"
549,TE Joe Royer,,,TE,joeroyer,ambiguous_name_key_2,open,,"[{""prospect_id"": 135, ""display_name"": ""Joe Royer"", ""position_group"": ""TE"", ""school_canonical"": ""Cincinnati""}, {""prospect_id"": 767, ""display_name"": ""Joe Royer"", ""position_group"": ""TE"", ""school_canonical"": ""NC State""}]"
563,WR Bryce Lance,,,WR,brycelance,ambiguous_name_key_2,open,,"[{""prospect_id"": 158, ""display_name"": ""Bryce Lance"", ""position_group"": ""WR"", ""school_canonical"": ""North Dakota State""}, {""prospect_id"": 730, ""display_name"": ""Bryce Lance"", ""position_group"": ""WR"", ""school_canonical"": ""N. Dakota St.""}]"
578,DT Chris McClellan,,,DT,chrismcclellan,ambiguous_name_key_2,open,,"[{""prospect_id"": 127, ""display_name"": ""Chris Mcclellan"", ""position_group"": ""LB"", ""school_canonical"": ""Missouri""}, {""prospect_id"": 468, ""display_name"": ""Chris Mcclellan"", ""position_group"": ""DT"", ""school_canonical"": ""Missouri""}]"
