Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Michael Strahan,Giants,1999,3,,"$29,300,000","$9,766,667","$12,000,000",,17.0%,,"$154,049,016","$51,349,674","$63,091,747"
Micah Parsons,Packers,2025,4,,"$186,000,000","$46,500,000","$120,000,000",,16.7%,,"$200,656,160","$50,164,040","$129,455,587"
Will Anderson Jr.,Texans,2026,3,,"$150,000,000","$50,000,000","$100,000,000",,16.6%,,"$150,000,000","$50,000,000","$100,000,000"
Aidan Hutchinson,Lions,2025,4,,"$180,000,000","$45,000,000","$55,722,000",,16.1%,,"$194,183,381","$48,545,845","$60,112,702"
T.J. Watt,Steelers,2021,4,,"$112,011,000","$28,002,750","$80,000,000",,15.3%,,"$184,864,182","$46,216,045","$132,032,877"
Nick Bosa,49ers,2023,5,,"$170,000,000","$34,000,000","$88,000,000",,15.1%,,"$227,775,801","$45,555,160","$117,907,473"
T.J. Watt,Steelers,2025,3,,"$123,000,000","$41,000,000","$108,000,000",,14.7%,,"$132,691,977","$44,230,659","$116,510,029"
Myles Garrett,Browns,2025,4,,"$160,000,000","$40,000,000","$88,800,000",,14.3%,,"$172,607,450","$43,151,862","$95,797,135"
Joey Bosa,Chargers,2020,5,,"$135,000,000","$27,000,000","$78,000,000",,13.6%,,"$205,156,408","$41,031,282","$118,534,813"
Julius Peppers,Panthers,2009,1,,"$16,683,000","$16,683,000","$16,683,000",,13.6%,,"$40,853,005","$40,853,005","$40,853,005"
Danielle Hunter,Texans,2026,1,,"$40,100,000","$40,100,000","$39,600,000",,13.3%,,"$40,100,000","$40,100,000","$39,600,000"
Mario Williams,Bills,2012,6,,"$96,000,000","$16,000,000","$24,900,000",,13.3%,,"$239,761,194","$39,960,199","$62,188,060"
Khalil Mack,LAC/CHI,2018,6,,"$141,000,000","$23,500,000","$60,000,000",,13.3%,,"$239,668,172","$39,944,695","$101,986,456"
Danielle Hunter,Texans,2025,2,,"$55,100,000","$35,600,000","$54,100,000",,12.8%,,"$59,441,691","$38,405,158","$58,362,894"
Maxx Crosby,BAL/LV,2025,3,,"$106,500,000","$35,500,000","$62,500,000",,12.7%,,"$114,891,834","$38,297,278","$67,424,785"
Clark Haggans,Steelers,2004,4,,"$10,200,000","$10,200,000","$3,000,000",,12.7%,,"$38,125,636","$38,125,636","$11,213,422"
Myles Garrett,Browns,2020,5,,"$125,000,000","$25,000,000","$50,000,000",,12.6%,,"$189,959,637","$37,991,927","$75,983,855"
Von Miller,LAR/DEN,2016,6,,"$114,500,000","$19,083,333","$42,000,000",,12.3%,,"$222,112,449","$37,018,741","$81,473,562"
Justin Houston,Chiefs,2015,6,,"$101,000,000","$16,833,333","$32,500,000",,11.7%,,"$212,319,933","$35,386,655","$68,320,771"
Maxx Crosby,Raiders,2022,4,,"$94,000,000","$23,500,000","$26,515,000",,11.3%,,"$135,988,473","$33,997,118","$38,358,876"
Demarcus Lawrence,Cowboys,2019,5,,"$105,000,000","$21,000,000","$48,000,000",,11.2%,,"$168,044,633","$33,608,927","$76,820,404"
