Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Aaron Donald,Rams,2022,3,,"$95,000,000","$31,666,667","$46,500,000",,15.2%,,"$137,435,159","$45,811,720","$67,270,893"
Warren Sapp,Buccaneers,1998,5,,"$35,382,500","$7,076,500","$8,650,000",,13.5%,,"$203,428,438","$40,685,688","$49,732,381"
Ndamukong Suh,Dolphins,2015,6,,"$114,375,000","$19,062,500","$59,955,000",,13.3%,,"$240,436,558","$40,072,760","$126,036,055"
Aaron Donald,Rams,2018,6,,"$135,000,000","$22,500,000","$50,000,000",,12.7%,,"$229,469,526","$38,244,921","$84,988,713"
J.J. Watt,Texans,2014,6,,"$100,000,000","$16,666,667","$20,876,385",,12.5%,,"$226,466,165","$37,744,362","$47,277,949"
Richard Seymour,Raiders,2011,2,,"$30,000,000","$15,000,000","$22,500,000",,12.5%,,"$75,065,421","$37,532,710","$56,299,065"
Chris Jones,Chiefs,2024,5,,"$158,750,000","$31,750,000","$60,000,000",,12.4%,,"$187,218,089","$37,443,618","$70,759,593"
John Randle,Vikings,1998,5,,"$32,500,000","$6,500,000","$20,000,000",,12.4%,,"$186,855,768","$37,371,154","$114,988,165"
Leonard Williams,NYG/SEA,2021,3,,"$63,000,000","$21,000,000","$45,000,000",,11.5%,,"$103,975,890","$34,658,630","$74,268,493"
Trevor Pryce,Broncos,2001,8,,"$59,900,000","$7,487,500","$10,600,000",,11.1%,,"$267,663,823","$33,457,978","$47,366,219"
Muhammad Wilkerson,Jets,2016,5,,"$86,000,000","$17,200,000","$36,750,000",,11.1%,,"$166,826,818","$33,365,364","$71,289,367"
Marcell Dareus,JAX/BUF,2015,6,,"$95,100,000","$15,850,000","$42,900,000",,11.1%,,"$199,917,085","$33,319,514","$90,183,417"
Fletcher Cox,Eagles,2016,6,,"$102,600,000","$17,100,000","$36,299,000",,11.0%,,"$199,028,273","$33,171,379","$70,414,496"
Christian Wilkins,Raiders,2024,4,,"$110,000,000","$27,500,000","$57,500,000",,10.8%,,"$129,725,920","$32,431,480","$67,811,276"
Quinnen Williams,NYJ/DAL,2023,4,,"$96,000,000","$24,000,000","$47,835,000",,10.7%,,"$128,626,335","$32,156,584","$64,092,091"
DeForest Buckner,Colts,2020,4,,"$84,000,000","$21,000,000","$39,378,000",,10.6%,,"$127,652,876","$31,913,219","$59,841,845"
Jeffery Simmons,Titans,2023,4,,"$94,000,000","$23,500,000","$47,830,000",,10.5%,,"$125,946,619","$31,486,655","$64,085,391"
