Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Quenton Nelson,Colts,2022,4,,"$80,000,000","$20,000,000","$41,000,000",,9.6%,,"$115,734,870","$28,933,718","$59,314,121"
Joe Thuney,Bears,2021,5,,"$80,000,000","$16,000,000","$31,890,000",,8.8%,,"$132,032,877","$26,406,575","$52,631,605"
Joel Bitonio,Browns,2021,3,,"$48,000,000","$16,000,000","$14,602,942",,8.8%,,"$79,219,726","$26,406,575","$24,100,856"
Joe Thuney,Chiefs,2021,5,,"$80,000,000","$16,000,000","$31,890,000",,8.8%,,"$132,032,877","$26,406,575","$52,631,605"
Tyler Smith,Cowboys,2025,4,,"$96,000,000","$24,000,000","$41,661,189",,8.6%,,"$103,564,470","$25,891,117","$44,943,947"
Landon Dickerson,Eagles,2024,4,,"$84,000,000","$21,000,000","$28,890,000",,8.2%,,"$99,063,430","$24,765,857","$34,070,744"
Elgton Jenkins,Packers,2022,4,,"$68,000,000","$17,000,000","$24,000,000",,8.2%,,"$98,374,640","$24,593,660","$34,720,461"
Luke Goedeke,Buccaneers,2025,4,,"$90,000,000","$22,500,000","$27,406,000",,8.1%,,"$97,091,691","$24,272,923","$29,565,499"
Carl Nicks,Buccaneers,2012,5,,"$47,500,000","$9,500,000","$25,000,000",,7.9%,,"$118,631,841","$23,726,368","$62,437,811"
Kelechi Osemele,LV/NYJ,2016,5,,"$58,500,000","$11,700,000","$25,700,000",,7.5%,,"$113,481,033","$22,696,207","$49,854,061"
Andrew Norwell,Jaguars,2018,5,,"$66,500,000","$13,300,000","$30,000,000",,7.5%,,"$113,034,989","$22,606,998","$50,993,228"
Joe Thuney,Patriots,2020,1,,"$14,781,000","$14,781,000","$14,781,000",,7.5%,,"$22,462,347","$22,462,347","$22,462,347"
Logan Mankins,NE/TB,2011,6,,"$51,000,000","$8,500,000","$21,500,000",,7.1%,,"$127,611,215","$21,268,536","$53,796,885"
Alan Faneca,Steelers,2002,5,,"$24,590,000","$4,918,000","$6,000,000",,6.9%,,"$104,168,830","$20,833,766","$25,417,364"
Alan Faneca,Jets,2008,5,,"$40,000,000","$8,000,000","$15,750,000",,6.9%,,"$103,862,069","$20,772,414","$40,895,690"
Aaron Banks,Packers,2025,4,,"$77,000,000","$19,250,000","$27,000,000",,6.9%,,"$83,067,335","$20,766,834","$29,127,507"
Steve Hutchinson,Vikings,2006,7,,"$49,000,000","$7,000,000","$10,000,000",,6.9%,,"$144,694,118","$20,670,588","$29,529,412"
Jonah Jackson,Rams,2024,3,,"$51,000,000","$17,000,000","$25,500,000",,6.7%,,"$60,145,654","$20,048,551","$30,072,827"
Laken Tomlinson,Jets,2022,3,,"$40,000,000","$13,333,333","$23,900,000",,6.4%,,"$57,867,435","$19,289,145","$34,575,793"
Andy Levitre,Titans,2013,6,,"$46,800,000","$7,800,000","$13,000,000",,6.3%,,"$114,602,927","$19,100,488","$31,834,146"
Joe Thuney,Bears,2025,2,,"$35,000,000","$17,500,000","$33,500,000",,6.3%,,"$37,757,880","$18,878,940","$36,139,685"
Ali Marpet,Buccaneers,2018,5,,"$54,125,000","$10,825,000","$10,117,351",,6.1%,,"$92,000,282","$18,400,056","$17,197,213"
Joel Bitonio,Browns,2017,5,,"$50,000,000","$10,000,000","$17,164,777",,6.0%,,"$90,179,641","$18,035,928","$30,958,268"
Ben Grubbs,Saints,2012,5,,"$36,000,000","$7,200,000","$16,000,000",,6.0%,,"$89,910,448","$17,982,090","$39,960,199"
Rodger Saffold,Titans,2019,4,,"$44,000,000","$11,000,000","$19,000,000",,5.8%,,"$70,418,704","$17,604,676","$30,408,077"
Andrus Peat,Saints,2020,5,,"$57,500,000","$11,500,000","$23,000,000",,5.8%,,"$87,381,433","$17,476,287","$34,952,573"
Ben Powers,Broncos,2023,4,,"$52,000,000","$13,000,000","$27,000,000",,5.8%,,"$69,672,598","$17,418,149","$36,176,157"
Josh Sitton,Packers,2011,5,,"$34,250,000","$6,850,000","$8,500,000",,5.7%,,"$85,699,688","$17,139,938","$21,268,536"
Mike Iupati,Cardinals,2015,5,,"$40,000,000","$8,000,000","$15,750,000",,5.6%,,"$84,087,102","$16,817,420","$33,109,296"
Zion Johnson,Browns,2026,3,,"$49,500,000","$16,500,000","$32,390,000",,5.5%,,"$49,500,000","$16,500,000","$32,390,000"
Cody Whitehair,Bears,2019,5,,"$51,250,000","$10,250,000","$12,026,078",,5.4%,,"$82,021,785","$16,404,357","$19,246,837"
Justin Blalock,Falcons,2011,6,,"$38,400,000","$6,400,000","$16,000,000",,5.3%,,"$96,083,738","$16,013,956","$40,034,891"
Damien Lewis,Panthers,2024,4,,"$53,000,000","$13,250,000","$26,215,000",,5.2%,,"$62,504,307","$15,626,077","$30,916,045"
Orlando Franklin,Chargers,2015,5,,"$36,500,000","$7,300,000","$16,500,000",,5.1%,,"$76,729,481","$15,345,896","$34,685,930"
Justin Pugh,Cardinals,2018,5,,"$45,025,000","$9,005,000","$13,000,000",,5.1%,,"$76,532,336","$15,306,467","$22,097,065"
David Edwards,Saints,2026,4,,"$61,000,000","$15,250,000","$30,000,000",,5.1%,,"$61,000,000","$15,250,000","$30,000,000"
Ereck Flowers,WAS/MIA,2020,3,,"$30,000,000","$10,000,000","$19,950,000",,5.0%,,"$45,590,313","$15,196,771","$30,317,558"
Andrew Norwell,Jaguars,2021,1,,"$9,000,000","$9,000,000","$9,000,000",,4.9%,,"$14,853,699","$14,853,699","$14,853,699"
Luke Joeckel,Seahawks,2017,1,,"$8,000,000","$8,000,000","$7,000,000",,4.8%,,"$14,428,743","$14,428,743","$12,625,150"
Rodger Saffold,Rams,2014,5,,"$31,722,233","$6,344,447","$11,000,000",,4.8%,,"$71,840,125","$14,368,026","$24,911,278"
Steve Hutchinson,Titans,2012,3,,"$16,750,000","$5,583,333","$6,500,000",,4.6%,,"$41,833,333","$13,944,444","$16,233,831"
Daryn Colledge,Cardinals,2011,5,,"$27,500,000","$5,500,000","$7,500,000",,4.6%,,"$68,809,969","$13,761,994","$18,766,355"
Zane Beadles,Jaguars,2014,5,,"$30,000,000","$6,000,000","$9,475,000",,4.5%,,"$67,939,850","$13,587,970","$21,457,669"
Josh Sitton,Bears,2016,3,,"$21,000,000","$7,000,000","$7,250,000",,4.5%,,"$40,736,781","$13,578,927","$14,063,889"
Alex Boone,Vikings,2016,4,,"$26,800,000","$6,700,000","$10,000,000",,4.3%,,"$51,987,892","$12,996,973","$19,398,467"
Evan Mathis,Eagles,2012,5,,"$25,500,000","$5,100,000","$6,000,000",,4.2%,,"$63,686,567","$12,737,313","$14,985,075"
Ben Grubbs,Chiefs,2015,4,,"$24,000,000","$6,000,000","$6,600,000",,4.2%,,"$50,452,261","$12,613,065","$13,874,372"
Justin Pugh,Cardinals,2021,2,,"$15,025,000","$7,512,500","$4,000,000",,4.1%,,"$24,797,425","$12,398,712","$6,601,644"
Andy Levitre,Falcons,2015,4,,"$23,250,000","$5,812,500","$5,500,000",,4.1%,,"$48,875,628","$12,218,907","$11,561,977"
Elgton Jenkins,Browns,2026,2,,"$24,000,000","$12,000,000","$15,000,000",,4.0%,,"$24,000,000","$12,000,000","$15,000,000"
Chris Kuper,Broncos,2010,5,,"$25,500,000","$5,100,000","$2,521,000",,4.0%,,"$59,539,535","$11,907,907","$5,886,242"
Zach Fulton,Texans,2018,4,,"$28,000,000","$7,000,000","$13,000,000",,4.0%,,"$47,593,679","$11,898,420","$22,097,065"
"Jon Runyan, Jr.",Giants,2024,3,,"$30,000,000","$10,000,000","$17,000,000",,3.9%,,"$35,379,796","$11,793,265","$20,048,551"
Matt Feiler,Chargers,2021,3,,"$21,000,000","$7,000,000","$13,000,000",,3.8%,,"$34,658,630","$11,552,877","$21,455,342"
Josh Sitton,Dolphins,2018,2,,"$13,500,000","$6,750,000","$8,450,000",,3.8%,,"$22,946,953","$11,473,476","$14,363,093"
Clint Boling,Bengals,2015,5,,"$26,000,000","$5,200,000","$5,000,000",,3.6%,,"$54,656,616","$10,931,323","$10,510,888"
Richie Incognito,Dolphins,2011,3,,"$12,900,000","$4,300,000","$4,300,000",,3.6%,,"$32,278,131","$10,759,377","$10,759,377"
Isaac Seumalo,Steelers,2023,3,,"$24,000,000","$8,000,000","$6,950,000",,3.6%,,"$32,156,584","$10,718,861","$9,312,011"
Isaac Seumalo,Cardinals,2026,3,,"$31,500,000","$10,500,000","$15,000,000",,3.5%,,"$31,500,000","$10,500,000","$15,000,000"
Ryan Lilja,Colts,2008,5,,"$20,000,000","$4,000,000","$4,500,000",,3.4%,,"$51,931,034","$10,386,207","$11,684,483"
Richie Incognito,Bills,2016,3,,"$15,750,000","$5,250,000","$5,450,000",,3.4%,,"$30,552,586","$10,184,195","$10,572,165"
Quenton Nelson,Colts,2018,4,,"$23,888,912","$5,972,228","$23,888,912",,3.4%,,"$40,605,758","$10,151,439","$40,605,758"
James Carpenter,Jets,2015,4,,"$19,100,000","$4,775,000","$5,000,000",,3.3%,,"$40,151,591","$10,037,898","$10,510,888"
John Simpson,Ravens,2026,3,,"$30,000,000","$10,000,000","$17,500,000",,3.3%,,"$30,000,000","$10,000,000","$17,500,000"
Lane Taylor,Packers,2017,3,,"$16,500,000","$5,500,000","$7,250,000",,3.3%,,"$29,759,281","$9,919,760","$13,076,048"
Richie Incognito,Raiders,2020,2,,"$12,700,000","$6,350,000","$5,000,000",,3.2%,,"$19,299,899","$9,649,950","$7,598,385"
