Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Trent Williams,49ers,2021,6,,"$138,060,000","$23,010,000","$40,050,000",,12.6%,,"$227,855,737","$37,975,956","$66,098,959"
Jonathan Ogden,Ravens,2000,6,,"$44,699,000","$7,449,833","$16,000,000",,12.0%,,"$216,549,875","$36,091,644","$77,513,993"
David Bakhtiari,Packers,2020,4,,"$92,000,000","$23,000,000","$30,000,000",,11.6%,,"$139,810,293","$34,952,573","$45,590,313"
Tony Boselli,Jaguars,1999,4,,"$26,000,000","$6,500,000","$8,000,000",,11.3%,,"$136,698,785","$34,174,696","$42,061,165"
Laremy Tunsil,WAS/HOU,2023,3,,"$75,000,000","$25,000,000","$50,000,000",,11.1%,,"$100,489,324","$33,496,441","$66,992,883"
Laremy Tunsil,Texans,2020,3,,"$66,000,000","$22,000,000","$40,000,000",,11.1%,,"$100,298,688","$33,432,896","$60,787,084"
Trent Williams,49ers,2024,3,,"$82,660,000","$27,553,333","$26,900,000",,10.8%,,"$97,483,132","$32,494,377","$31,723,884"
Jason Peters,Eagles,2009,4,,"$51,450,000","$12,862,500","$10,500,000",,10.5%,,"$125,989,756","$31,497,439","$25,712,195"
Andrew Thomas,Giants,2023,5,,"$117,500,000","$23,500,000","$67,000,000",,10.5%,,"$157,433,274","$31,486,655","$89,770,463"
Jonathan Ogden,Ravens,2004,6,,"$50,000,000","$8,333,333","$14,351,470",,10.3%,,"$186,890,373","$31,148,394","$53,643,031"
Rashawn Slater,Chargers,2025,4,,"$114,000,000","$28,500,000","$56,000,000",,10.2%,,"$122,982,808","$30,745,702","$60,412,607"
Christian Darrisaw,Vikings,2024,4,,"$104,000,000","$26,000,000","$43,725,000",,10.2%,,"$122,649,961","$30,662,490","$51,566,053"
Laremy Tunsil,Commanders,2026,2,,"$60,200,000","$30,100,000","$52,665,000",,10.0%,,"$60,200,000","$30,100,000","$52,665,000"
Ronnie Stanley,Ravens,2020,5,,"$98,750,000","$19,750,000","$64,116,000",,10.0%,,"$150,068,113","$30,013,623","$97,435,617"
Kolton Miller,Raiders,2021,3,,"$54,015,000","$18,005,000","$25,000,000",,9.9%,,"$89,146,948","$29,715,649","$41,260,274"
Joe Thomas,Browns,2011,7,,"$80,500,000","$11,500,000","$10,000,000",,9.6%,,"$201,425,545","$28,775,078","$25,021,807"
Trent Williams,SF/WAS,2015,5,,"$66,000,000","$13,200,000","$30,000,000",,9.2%,,"$138,743,719","$27,748,744","$63,065,327"
Tyron Smith,Cowboys,2014,8,,"$97,600,000","$12,200,000","$22,118,013",,9.2%,,"$221,030,977","$27,628,872","$50,089,816"
Taylor Lewan,Titans,2018,5,,"$80,000,000","$16,000,000","$34,000,000",,9.0%,,"$135,981,941","$27,196,388","$57,792,325"
Bernhard Raimann,Colts,2025,4,,"$100,000,000","$25,000,000","$45,000,000",,9.0%,,"$107,879,656","$26,969,914","$48,545,845"
Jake Matthews,Falcons,2022,3,,"$55,500,000","$18,500,000","$26,558,823",,8.9%,,"$80,291,066","$26,763,689","$38,422,274"
Orlando Pace,Rams,2005,7,,"$52,900,000","$7,557,143","$15,000,000",,8.8%,,"$186,356,491","$26,622,356","$52,842,105"
Walter Jones,Seahawks,2004,1,,"$7,084,800","$7,084,800","$7,084,800",,8.8%,,"$26,481,618","$26,481,618","$26,481,618"
Jason Smith,Rams,2009,5,,"$54,000,000","$10,800,000","$16,115,000",,8.8%,,"$132,234,146","$26,446,829","$39,462,098"
Walter Jones,Seahawks,2005,7,,"$52,500,000","$7,500,000","$16,000,000",,8.8%,,"$184,947,368","$26,421,053","$56,364,912"
Jordan Mailata,Eagles,2021,4,,"$64,000,000","$16,000,000","$18,850,000",,8.8%,,"$105,626,301","$26,406,575","$31,110,247"
Nate Solder,Giants,2018,4,,"$62,000,000","$15,500,000","$34,800,000",,8.7%,,"$105,386,005","$26,346,501","$59,152,144"
Orlando Pace,Rams,2004,1,,"$7,021,000","$7,021,000","$7,021,000",,8.7%,,"$26,243,146","$26,243,146","$26,243,146"
Charles Cross,Seahawks,2026,4,,"$104,400,000","$26,100,000","$43,060,000",,8.7%,,"$104,400,000","$26,100,000","$43,060,000"
Jake Long,Dolphins,2008,5,,"$50,000,000","$10,000,000","$29,250,000",,8.6%,,"$129,827,586","$25,965,517","$75,949,138"
Jordan Mailata,Eagles,2024,3,,"$66,000,000","$22,000,000","$41,000,000",,8.6%,,"$77,835,552","$25,945,184","$48,352,388"
Garett Bolles,Broncos,2020,4,,"$68,000,000","$17,000,000","$21,000,000",,8.6%,,"$103,338,042","$25,834,511","$31,913,219"
Ryan Clady,Broncos,2013,5,,"$52,500,000","$10,500,000","$15,000,000",,8.5%,,"$128,560,976","$25,712,195","$36,731,707"
Donovan Smith,Buccaneers,2021,2,,"$31,000,000","$15,500,000","$28,750,000",,8.5%,,"$51,162,740","$25,581,370","$47,449,315"
Cam Robinson,JAX/MIN,2022,3,,"$52,750,000","$17,583,333","$33,000,000",,8.4%,,"$76,312,680","$25,437,560","$47,740,634"
Terron Armstead,Saints,2016,5,,"$65,000,000","$13,000,000","$20,880,000",,8.4%,,"$126,090,037","$25,218,007","$40,503,999"
Anthony Castonzo,Colts,2020,2,,"$33,000,000","$16,500,000","$17,000,000",,8.3%,,"$50,149,344","$25,074,672","$25,834,511"
Trent Williams,49ers,2026,2,,"$50,000,000","$25,000,000",$0,,8.3%,,"$50,000,000","$25,000,000",$0
