Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Joe Burrow,Bengals,2023,5,,"$275,000,000","$55,000,000","$146,510,000",,24.5%,,"$368,460,854","$73,692,171","$196,302,544"
Aaron Rodgers,GB/NYJ,2022,5,,"$150,815,000","$50,271,667","$101,415,000",,24.1%,,"$218,181,931","$72,727,311","$146,715,648"
Josh Allen,Bills,2021,6,,"$258,000,000","$43,000,000","$100,000,000",,23.6%,,"$425,806,027","$70,967,671","$165,041,096"
Russell Wilson,Broncos,2022,5,,"$245,000,000","$49,000,000","$124,000,000",,23.5%,,"$354,438,040","$70,887,608","$179,389,049"
Dak Prescott,Cowboys,2024,4,,"$240,000,000","$60,000,000","$129,000,000",,23.5%,,"$283,038,371","$70,759,593","$152,133,125"
Justin Herbert,Chargers,2023,5,,"$262,500,000","$52,500,000","$133,738,375",,23.4%,,"$351,712,633","$70,342,527","$179,190,385"
Lamar Jackson,Ravens,2023,5,,"$260,000,000","$52,000,000","$135,000,000",,23.1%,,"$348,362,989","$69,672,598","$180,880,783"
Patrick Mahomes,Chiefs,2020,10,,"$450,000,000","$45,000,000","$63,081,905",,22.7%,,"$683,854,692","$68,385,469","$95,864,126"
Jalen Hurts,Eagles,2023,5,,"$255,000,000","$51,000,000","$110,000,000",,22.7%,,"$341,663,701","$68,332,740","$147,384,342"
Kyler Murray,Cardinals,2022,5,,"$230,500,000","$46,100,000","$103,300,000",,22.1%,,"$333,461,095","$66,692,219","$149,442,651"
Deshaun Watson,Browns,2022,5,,"$230,000,000","$46,000,000","$230,000,000",,22.1%,,"$332,737,752","$66,547,550","$332,737,752"
Dak Prescott,Cowboys,2021,4,,"$160,000,000","$40,000,000","$95,000,000",,21.9%,,"$264,065,753","$66,016,438","$156,789,041"
Trevor Lawrence,Jaguars,2024,5,,"$275,000,000","$55,000,000","$142,000,000",,21.5%,,"$324,314,800","$64,862,960","$167,464,370"
Jordan Love,Packers,2024,4,,"$220,000,000","$55,000,000","$100,800,000",,21.5%,,"$259,451,840","$64,862,960","$118,876,116"
Tua Tagovailoa,Dolphins,2024,4,,"$212,400,000","$53,100,000","$93,171,000",,20.8%,,"$250,488,958","$62,622,240","$109,879,034"
Jared Goff,Lions,2024,4,,"$212,000,000","$53,000,000","$113,611,832",,20.8%,,"$250,017,228","$62,504,307","$133,985,449"
Josh Allen,Bills,2025,6,,"$330,000,000","$55,000,000","$147,000,000",,19.7%,,"$356,002,865","$59,333,811","$158,583,095"
Deshaun Watson,Texans,2020,4,,"$156,000,000","$39,000,000","$74,894,247",,19.7%,,"$237,069,627","$59,267,407","$113,815,072"
Derek Carr,Raiders,2022,3,,"$121,422,481","$40,474,160","$24,900,000",,19.4%,,"$175,660,189","$58,553,396","$36,022,478"
Matt Stafford,Rams,2022,4,,"$160,000,000","$40,000,000","$63,000,000",,19.2%,,"$231,469,741","$57,867,435","$91,141,210"
Brett Favre,Packers,1997,5,,"$39,350,000","$7,870,000","$12,000,000",,19.0%,,"$285,912,578","$57,182,516","$87,190,621"
Brock Purdy,49ers,2025,5,,"$265,000,000","$53,000,000","$100,000,000",,19.0%,,"$285,881,089","$57,176,218","$107,879,656"
Carson Palmer,Bengals,2005,6,,"$97,000,000","$16,166,667","$24,000,000",,18.9%,,"$341,712,281","$56,952,048","$84,547,368"
Aaron Rodgers,Packers,2018,4,,"$134,000,000","$33,500,000","$78,700,000",,18.9%,,"$227,769,752","$56,942,438","$133,772,235"
Troy Aikman,Cowboys,1999,6,,"$64,500,000","$10,750,000","$13,000,000",,18.8%,,"$339,118,140","$56,519,690","$68,349,393"
Russell Wilson,SEA/DEN,2019,4,,"$140,000,000","$35,000,000","$70,000,000",,18.6%,,"$224,059,511","$56,014,878","$112,029,756"
Mark Brunell,Jaguars,1997,4,,"$30,500,000","$7,625,000","$10,000,000",,18.4%,,"$221,609,495","$55,402,374","$72,658,851"
Drew Bledsoe,Patriots,1995,6,,"$40,462,500","$6,743,750","$12,900,000",,18.2%,,"$328,498,787","$54,749,798","$104,729,919"
Steve Young,49ers,1997,6,,"$45,000,000","$7,500,000",$0,,18.1%,,"$326,964,828","$54,494,138",$0
Ben Roethlisberger,Steelers,2019,2,,"$68,000,000","$34,000,000","$37,500,000",,18.1%,,"$108,828,905","$54,414,453","$60,015,940"
Aaron Rodgers,Packers,2013,5,,"$110,000,000","$22,000,000","$54,000,000",,17.9%,,"$269,365,854","$53,873,171","$132,234,146"
Jared Goff,LAR/DET,2019,4,,"$134,000,000","$33,500,000","$57,042,682",,17.8%,,"$214,456,961","$53,614,240","$91,292,539"
Daniel Jones,Giants,2023,4,,"$160,000,000","$40,000,000","$81,000,000",,17.8%,,"$214,377,224","$53,594,306","$108,528,470"
Kirk Cousins,Falcons,2024,4,,"$180,000,000","$45,000,000","$90,000,000",,17.6%,,"$212,278,778","$53,069,695","$106,139,389"
Peyton Manning,Colts,2004,7,,"$98,000,000","$14,000,000","$34,500,000",,17.4%,,"$366,305,130","$52,329,304","$128,954,357"
Brett Favre,NYJ/GB,2001,7,,"$80,600,000","$11,514,286","$11,000,000",,17.1%,,"$360,162,006","$51,451,716","$49,153,624"
Carson Wentz,PHI/WAS/IND,2019,4,,"$128,000,000","$32,000,000","$66,470,683",,17.0%,,"$204,854,410","$51,213,603","$106,381,348"
Matt Ryan,IND/ATL,2018,5,,"$150,000,000","$30,000,000","$94,500,000",,16.9%,,"$254,966,140","$50,993,228","$160,628,668"
Matt Ryan,Falcons,2013,5,,"$103,750,000","$20,750,000","$42,000,000",,16.9%,,"$254,060,976","$50,812,195","$102,848,780"
Kirk Cousins,Vikings,2022,1,,"$35,000,000","$35,000,000","$70,000,000",,16.8%,,"$50,634,006","$50,634,006","$101,268,012"
Derek Carr,Saints,2023,4,,"$150,000,000","$37,500,000","$60,000,000",,16.7%,,"$200,978,648","$50,244,662","$80,391,459"
Aaron Rodgers,Jets,2023,3,,"$112,500,000","$37,500,000","$75,000,000",,16.7%,,"$150,733,986","$50,244,662","$100,489,324"
Kirk Cousins,Vikings,2020,2,,"$66,000,000","$33,000,000","$61,000,000",,16.6%,,"$100,298,688","$50,149,344","$92,700,303"
Drew Brees,Saints,2012,5,,"$100,000,000","$20,000,000","$40,000,000",,16.6%,,"$249,751,244","$49,950,249","$99,900,498"
Joe Flacco,Ravens,2013,6,,"$120,600,000","$20,100,000","$51,000,000",,16.3%,,"$295,322,927","$49,220,488","$124,887,805"
Matt Stafford,LAR/DET,2017,5,,"$135,000,000","$27,000,000","$60,500,000",,16.2%,,"$243,485,030","$48,697,006","$109,117,365"
Michael Vick,Falcons,2004,7,,"$91,000,000","$13,000,000","$30,000,000",,16.1%,,"$340,140,478","$48,591,497","$112,134,224"
Peyton Manning,Broncos,2012,5,,"$96,000,000","$19,200,000","$18,000,000",,15.9%,,"$239,761,194","$47,952,239","$44,955,224"
Dak Prescott,Cowboys,2020,1,,"$31,409,000","$31,409,000","$31,409,000",,15.8%,,"$47,731,538","$47,731,538","$47,731,538"
Andrew Luck,Colts,2016,5,,"$122,970,000","$24,594,000","$47,000,000",,15.8%,,"$238,542,951","$47,708,590","$91,172,796"
Kirk Cousins,Vikings,2018,3,,"$84,000,000","$28,000,000","$84,000,000",,15.8%,,"$142,781,038","$47,593,679","$142,781,038"
Dan Marino,Dolphins,1996,2,,"$12,850,000","$6,425,000","$5,800,000",,15.8%,,"$94,972,640","$47,486,320","$42,867,028"
Drew Bledsoe,NE/BUF,2001,9,,"$95,400,000","$10,600,000","$8,000,000",,15.7%,,"$426,295,972","$47,366,219","$35,748,090"
Steve Young,49ers,1998,6,,"$49,175,000","$8,195,833","$7,500,000",,15.6%,,"$282,727,151","$47,121,190","$43,120,562"
Drew Brees,Saints,2016,1,,"$24,250,000","$24,250,000","$24,250,000",,15.6%,,"$47,041,283","$47,041,283","$47,041,283"
