Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Brandon Scherff,Commanders,2021,1,,"$18,036,000","$18,036,000","$18,036,000",,9.9%,,"$29,766,812","$29,766,812","$29,766,812"
Chris Lindstrom,Falcons,2023,5,,"$102,500,000","$20,500,000","$48,202,000",,9.1%,,"$137,335,409","$27,467,082","$64,583,819"
Trey Smith,Chiefs,2025,4,,"$94,000,000","$23,500,000","$46,750,000",,8.4%,,"$101,406,877","$25,351,719","$50,433,739"
Trey Smith,Chiefs,2025,1,,"$23,402,000","$23,402,000","$23,402,000",,8.4%,,"$25,245,997","$25,245,997","$25,245,997"
Zack Martin,Cowboys,2023,2,,"$36,850,000","$18,425,000","$36,850,000",,8.2%,,"$49,373,754","$24,686,877","$49,373,754"
Brandon Scherff,Jaguars,2022,3,,"$49,500,000","$16,500,000","$30,000,000",,7.9%,,"$71,610,951","$23,870,317","$43,400,576"
Zack Martin,Cowboys,2018,6,,"$84,000,000","$14,000,000","$32,000,000",,7.9%,,"$142,781,038","$23,796,840","$54,392,777"
Robert Hunt,Panthers,2024,5,,"$100,000,000","$20,000,000","$44,000,000",,7.8%,,"$117,932,655","$23,586,531","$51,890,368"
Wyatt Teller,Browns,2021,4,,"$56,800,000","$14,200,000","$16,591,500",,7.8%,,"$93,743,342","$23,435,836","$27,382,793"
Brandon Scherff,Commanders,2020,1,,"$15,030,000","$15,030,000","$15,030,000",,7.6%,,"$22,840,747","$22,840,747","$22,840,747"
Brandon Brooks,Eagles,2019,4,,"$56,200,000","$14,050,000","$13,311,177",,7.5%,,"$89,943,889","$22,485,972","$21,303,542"
Samuel Cosmi,Commanders,2024,4,,"$74,000,000","$18,500,000","$26,616,000",,7.2%,,"$87,270,164","$21,817,541","$31,388,955"
Kevin Zeitler,NYG/CLE,2017,5,,"$60,000,000","$12,000,000","$23,000,000",,7.2%,,"$108,215,569","$21,643,114","$41,482,635"
Quinn Meinerz,Broncos,2024,4,,"$72,000,000","$18,000,000","$24,000,000",,7.0%,,"$84,911,511","$21,227,878","$28,303,837"
Trai Turner,CAR/LAC,2017,4,,"$45,000,000","$11,250,000","$15,797,000",,6.7%,,"$81,161,677","$20,290,419","$28,491,356"
Gabe Jackson,Raiders,2017,5,,"$55,000,000","$11,000,000","$16,500,000",,6.6%,,"$99,197,605","$19,839,521","$29,759,281"
David DeCastro,Steelers,2016,5,,"$50,000,000","$10,000,000","$16,000,000",,6.4%,,"$96,992,336","$19,398,467","$31,037,547"
Kyle Long,Bears,2016,4,,"$40,000,000","$10,000,000","$18,000,000",,6.4%,,"$77,593,869","$19,398,467","$34,917,241"
Will Fries,Vikings,2025,5,,"$87,720,000","$17,544,000","$34,000,000",,6.3%,,"$94,632,034","$18,926,407","$36,679,083"
Jahri Evans,Saints,2010,7,,"$56,700,000","$8,100,000","$19,000,000",,6.3%,,"$132,387,907","$18,912,558","$44,362,791"
Kevin Dotson,Rams,2024,3,,"$48,000,000","$16,000,000","$24,000,000",,6.3%,,"$56,607,674","$18,869,225","$28,303,837"
Davin Joseph,Buccaneers,2011,7,,"$52,500,000","$7,500,000","$19,000,000",,6.2%,,"$131,364,486","$18,766,355","$47,541,433"
Chris Snee,Giants,2008,6,,"$41,250,000","$6,875,000","$16,000,000",,5.9%,,"$107,107,759","$17,851,293","$41,544,828"
T.J. Lang,Lions,2017,3,,"$28,500,000","$9,500,000","$19,000,000",,5.7%,,"$51,402,395","$17,134,132","$34,268,263"
Marshal Yanda,Ravens,2015,4,,"$31,917,647","$7,979,412","$15,800,000",,5.6%,,"$67,096,561","$16,774,141","$33,214,405"
Graham Glasgow,Broncos,2020,4,,"$44,000,000","$11,000,000","$22,900,000",,5.5%,,"$66,865,792","$16,716,448","$34,800,605"
Ronald Leary,Broncos,2017,4,,"$36,000,000","$9,000,000","$18,650,000",,5.4%,,"$64,929,341","$16,232,335","$33,637,006"
Jahri Evans,Saints,2015,3,,"$23,000,000","$7,666,667","$7,000,000",,5.4%,,"$48,350,084","$16,116,695","$14,715,243"
Marshal Yanda,Ravens,2011,5,,"$32,000,000","$6,400,000","$10,000,000",,5.3%,,"$80,069,782","$16,013,956","$25,021,807"
Marshal Yanda,Ravens,2019,1,,"$10,000,000","$10,000,000","$10,000,000",,5.3%,,"$16,004,251","$16,004,251","$16,004,251"
Jonah Jackson,Bears,2025,3,,"$44,500,000","$14,833,333","$24,500,000",,5.3%,,"$48,006,447","$16,002,149","$26,430,516"
Shaquille Mason,Texans,2023,3,,"$35,000,000","$11,666,667","$22,000,000",,5.2%,,"$46,895,018","$15,631,673","$29,476,868"
Brandon Brooks,Eagles,2016,5,,"$40,000,000","$8,000,000","$17,000,000",,5.2%,,"$77,593,869","$15,518,774","$32,977,394"
Shawn Andrews,Eagles,2006,7,,"$36,400,000","$5,200,000","$5,000,000",,5.1%,,"$107,487,059","$15,355,294","$14,764,706"
Larry Warford,Saints,2017,4,,"$34,000,000","$8,500,000","$17,000,000",,5.1%,,"$61,322,156","$15,330,539","$30,661,078"
Shaquille Mason,TB/NE/HOU,2018,5,,"$45,000,000","$9,000,000","$23,500,000",,5.1%,,"$76,489,842","$15,297,968","$39,944,695"
Laurent Duvernay-Tardif,Chiefs,2017,5,,"$41,264,500","$8,252,900","$14,000,000",,4.9%,,"$74,424,356","$14,884,871","$25,250,299"
Cesar Ruiz,Saints,2023,4,,"$44,000,000","$11,000,000","$18,188,981",,4.9%,,"$58,953,737","$14,738,434","$24,370,645"
Louis Vasquez,Broncos,2013,4,,"$23,500,000","$5,875,000","$7,000,000",,4.8%,,"$57,546,341","$14,386,585","$17,141,463"
