Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Tristan Wirfs,Buccaneers,2024,5,,"$140,625,000","$28,125,000","$52,244,000",,11.0%,,"$165,842,796","$33,168,559","$61,612,736"
Penei Sewell,Lions,2024,4,,"$112,000,000","$28,000,000","$42,986,236",,11.0%,,"$132,084,573","$33,021,143","$50,694,809"
Ryan Ramczyk,Saints,2021,5,,"$96,000,000","$19,200,000","$43,014,824",,10.5%,,"$158,439,452","$31,687,890","$70,992,137"
Brian O'Neill,Vikings,2021,5,,"$92,500,000","$18,500,000","$22,576,118",,10.1%,,"$152,663,014","$30,532,603","$37,259,873"
Braden Smith,Colts,2021,4,,"$70,000,000","$17,500,000","$32,000,000",,9.6%,,"$115,528,767","$28,882,192","$52,813,151"
Lane Johnson,Eagles,2019,4,,"$72,000,000","$18,000,000","$25,000,000",,9.6%,,"$115,230,606","$28,807,651","$40,010,627"
Taylor Moton,Panthers,2021,5,,"$85,000,000","$17,000,000","$43,000,000",,9.3%,,"$140,284,932","$28,056,986","$70,967,671"
Lane Johnson,Eagles,2025,1,,"$25,000,000","$25,000,000","$25,000,000",,9.0%,,"$26,969,914","$26,969,914","$26,969,914"
Jawaan Taylor,Chiefs,2023,4,,"$80,000,000","$20,000,000","$40,000,000",,8.9%,,"$107,188,612","$26,797,153","$53,594,306"
Lane Johnson,Eagles,2023,4,,"$80,000,000","$20,000,000","$30,000,000",,8.9%,,"$107,188,612","$26,797,153","$40,195,730"
Trent Brown,NE/LV,2019,4,,"$66,000,000","$16,500,000","$36,250,000",,8.8%,,"$105,628,055","$26,407,014","$58,015,409"
Tytus Howard,CLE/HOU,2023,3,,"$56,000,000","$18,666,667","$36,002,000",,8.3%,,"$75,032,028","$25,010,677","$48,237,555"
Taylor Moton,Panthers,2025,2,,"$44,000,000","$22,000,000","$36,800,000",,7.9%,,"$47,467,049","$23,733,524","$39,699,713"
Zach Tom,Packers,2025,4,,"$88,000,000","$22,000,000","$30,200,000",,7.9%,,"$94,934,097","$23,733,524","$32,579,656"
Mike McGlinchey,Broncos,2023,5,,"$87,500,000","$17,500,000","$35,000,000",,7.8%,,"$117,237,544","$23,447,509","$46,895,018"
Tytus Howard,Browns,2026,2,,"$45,000,000","$22,500,000","$34,500,000",,7.5%,,"$45,000,000","$22,500,000","$34,500,000"
Michael Onwenu,Patriots,2024,3,,"$57,000,000","$19,000,000","$36,500,000",,7.4%,,"$67,221,613","$22,407,204","$43,045,419"
Terence Steele,Cowboys,2023,5,,"$82,500,000","$16,500,000","$23,554,000",,7.3%,,"$110,538,256","$22,107,651","$31,559,007"
Lane Johnson,Eagles,2016,5,,"$56,250,000","$11,250,000","$20,862,242",,7.2%,,"$109,116,378","$21,823,276","$40,469,552"
Jack Conklin,Browns,2022,4,,"$60,000,000","$15,000,000","$13,985,000",,7.2%,,"$86,801,153","$21,700,288","$20,231,902"
Jack Conklin,Browns,2020,3,,"$42,000,000","$14,000,000","$30,000,000",,7.1%,,"$63,826,438","$21,275,479","$45,590,313"
Spencer Brown,Bills,2024,4,,"$72,000,000","$18,000,000","$19,855,000",,7.0%,,"$84,911,511","$21,227,878","$23,415,529"
Ja'Wuan James,Broncos,2019,4,,"$51,000,000","$12,750,000","$27,000,000",,6.8%,,"$81,621,679","$20,405,420","$43,211,477"
Doug Free,Cowboys,2011,4,,"$32,000,000","$8,000,000","$17,000,000",,6.6%,,"$80,069,782","$20,017,445","$42,537,072"
Stacy Andrews,Bengals,2008,1,,"$7,455,000","$7,455,000","$7,455,000",,6.4%,,"$19,357,293","$19,357,293","$19,357,293"
Mitchell Schwartz,Chiefs,2019,1,,"$11,255,000","$11,255,000","$17,500,000",,6.0%,,"$18,012,784","$18,012,784","$28,007,439"
Max Starks,Steelers,2008,1,,"$6,895,000","$6,895,000","$6,895,000",,5.9%,,"$17,903,224","$17,903,224","$17,903,224"
Jonah Williams,Cardinals,2024,2,,"$30,000,000","$15,000,000","$19,000,000",,5.9%,,"$35,379,796","$17,689,898","$22,407,204"
Gosder Cherilus,Colts,2013,5,,"$35,000,000","$7,000,000","$15,500,000",,5.7%,,"$85,707,317","$17,141,463","$37,956,098"
Andre Smith,Bengals,2009,6,,"$42,000,000","$7,000,000","$13,062,500",,5.7%,,"$102,848,780","$17,141,463","$31,987,195"
Ricky Wagner,Lions,2017,5,,"$47,500,000","$9,500,000","$17,500,000",,5.7%,,"$85,670,659","$17,134,132","$31,562,874"
