Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Jamal Adams,Seahawks,2021,4,,"$70,000,000","$17,500,000","$21,000,000",,9.6%,,"$115,528,767","$28,882,192","$34,658,630"
Derwin James,Chargers,2022,4,,"$76,000,000","$19,000,000","$38,584,471",,9.1%,,"$109,948,127","$27,487,032","$55,819,609"
Kyle Hamilton,Ravens,2025,4,,"$100,400,000","$25,100,000","$48,022,604",,9.0%,,"$108,311,175","$27,077,794","$51,806,620"
Harrison Smith,Vikings,2021,4,,"$64,000,000","$16,000,000","$14,179,412",,8.8%,,"$105,626,301","$26,406,575","$23,401,857"
Minkah Fitzpatrick,PIT/MIA,2022,4,,"$72,988,000","$18,247,000","$36,000,000",,8.8%,,"$105,590,709","$26,397,677","$52,080,692"
Justin Simmons,Broncos,2021,4,,"$61,000,000","$15,250,000","$32,100,000",,8.4%,,"$100,675,068","$25,168,767","$52,978,192"
"Antoine Winfield, Jr.",Buccaneers,2024,4,,"$84,100,000","$21,025,000","$45,000,000",,8.2%,,"$99,181,363","$24,795,341","$53,069,695"
Troy Polamalu,Steelers,2011,3,,"$29,600,000","$9,866,667","$10,550,000",,8.2%,,"$74,064,548","$24,688,184","$26,398,006"
Tyrann Mathieu,Cardinals,2016,5,,"$62,500,407","$12,500,081","$21,250,000",,8.1%,,"$121,241,209","$24,248,241","$41,221,743"
Eric Berry,Chiefs,2017,6,,"$78,000,000","$13,000,000","$29,800,000",,7.8%,,"$140,680,240","$23,446,707","$53,747,066"
John Lynch,Buccaneers,2000,5,,"$24,100,000","$4,820,000","$5,600,000",,7.8%,,"$116,755,453","$23,351,091","$27,129,898"
Kerby Joseph,Lions,2025,4,,"$85,000,000","$21,250,000","$23,121,000",,7.6%,,"$91,697,708","$22,924,427","$24,942,855"
Earl Thomas,Seahawks,2014,4,,"$40,000,000","$10,000,000","$14,225,000",,7.5%,,"$90,586,466","$22,646,617","$32,214,812"
Kevin Byard,Titans,2019,5,,"$70,500,000","$14,100,000","$19,625,000",,7.5%,,"$112,829,968","$22,565,994","$31,408,342"
Budda Baker,Cardinals,2020,4,,"$59,000,000","$14,750,000","$22,100,000",,7.4%,,"$89,660,949","$22,415,237","$33,584,864"
Tyrann Mathieu,Chiefs,2019,3,,"$42,000,000","$14,000,000","$26,800,000",,7.4%,,"$67,217,853","$22,405,951","$42,891,392"
Landon Collins,Commanders,2019,6,,"$84,000,000","$14,000,000","$31,000,000",,7.4%,,"$134,435,707","$22,405,951","$49,613,177"
Eddie Jackson,Bears,2020,4,,"$58,400,000","$14,600,000","$22,000,000",,7.4%,,"$88,749,142","$22,187,286","$33,432,896"
Earl Thomas,Ravens,2019,4,,"$55,000,000","$13,750,000","$32,000,000",,7.3%,,"$88,023,379","$22,005,845","$51,213,603"
Kam Chancellor,Seahawks,2017,3,,"$36,000,000","$12,000,000","$13,000,000",,7.2%,,"$64,929,341","$21,643,114","$23,446,707"
Reshad Jones,Dolphins,2017,4,,"$48,000,000","$12,000,000","$19,885,000",,7.2%,,"$86,572,455","$21,643,114","$35,864,443"
Jessie Bates III,Falcons,2023,4,,"$64,020,000","$16,005,000","$36,000,000",,7.1%,,"$85,777,687","$21,444,422","$48,234,875"
Budda Baker,Cardinals,2024,3,,"$54,000,000","$18,000,000","$17,441,666",,7.0%,,"$63,683,634","$21,227,878","$20,569,420"
Eric Berry,Chiefs,2016,1,,"$10,806,000","$10,806,000","$10,806,000",,7.0%,,"$20,961,984","$20,961,984","$20,961,984"
Troy Polamalu,Steelers,2007,4,,"$30,190,000","$7,547,500","$10,975,000",,6.9%,,"$83,424,110","$20,856,028","$30,327,248"
Steve Atwater,Broncos,1995,5,,"$12,500,000","$2,500,000","$3,300,000",,6.7%,,"$101,482,480","$20,296,496","$26,791,375"
Marcus Williams,Ravens,2022,5,,"$70,000,000","$14,000,000","$17,080,000",,6.7%,,"$101,268,012","$20,253,602","$24,709,395"
Dashon Goldson,TB/WAS,2013,5,,"$41,000,000","$8,250,000","$22,000,000",,6.7%,,"$100,400,000","$20,202,439","$53,873,171"
"Antoine Winfield, Jr.",Buccaneers,2024,1,,"$17,123,000","$17,123,000",$0,,6.7%,,"$20,193,608","$20,193,608",$0
Eric Weddle,Chargers,2011,5,,"$40,000,000","$8,000,000","$19,000,000",,6.6%,,"$100,087,227","$20,017,445","$47,541,433"
Devin McCourty,Patriots,2015,5,,"$47,500,000","$9,500,000","$22,000,000",,6.6%,,"$99,853,434","$19,970,687","$46,247,906"
Harrison Smith,Vikings,2016,5,,"$51,250,000","$10,250,000","$15,278,000",,6.6%,,"$99,417,144","$19,883,429","$29,636,978"
Jairus Byrd,Saints,2014,6,,"$52,500,000","$8,750,000","$18,300,000",,6.6%,,"$118,894,737","$19,815,789","$41,443,308"
