Player,Team,YearSigned,Years,,Value,APY,Guaranteed,,APY as % OfCap At Signing,,InflatedValue,InflatedAPY,InflatedGuaranteed
Ja'Marr Chase,Bengals,2025,4,,"$161,000,000","$40,250,000","$73,900,000",,14.4%,,"$173,686,246","$43,421,562","$79,723,066"
Tyreek Hill,Dolphins,2022,4,,"$120,000,000","$30,000,000","$52,535,000",,14.4%,,"$173,602,305","$43,400,576","$76,001,643"
Jerry Rice,49ers,1996,5,,"$29,000,000","$5,800,000","$4,000,000",,14.2%,,"$214,335,141","$42,867,028","$29,563,468"
Jaxon Smith-Njigba,Seahawks,2026,4,,"$168,600,000","$42,150,000","$69,130,996",,14.0%,,"$168,600,000","$42,150,000","$69,130,996"
DeAndre Hopkins,Cardinals,2020,2,,"$54,500,000","$27,250,000","$42,750,000",,13.7%,,"$82,822,402","$41,411,201","$64,966,196"
Justin Jefferson,Vikings,2024,4,,"$140,000,000","$35,000,000","$88,743,000",,13.7%,,"$165,105,717","$41,276,429","$104,656,976"
Randy Moss,Vikings,2001,7,,"$63,536,000","$9,076,571","$10,000,000",,13.5%,,"$283,911,330","$40,558,760","$44,685,112"
Davante Adams,LV/NYJ,2022,5,,"$140,000,000","$28,000,000","$22,750,000",,13.4%,,"$202,536,023","$40,507,205","$32,912,104"
Calvin Johnson,Lions,2012,7,,"$113,450,000","$16,207,143","$48,750,000",,13.4%,,"$283,342,786","$40,477,541","$121,753,731"
Larry Fitzgerald,Cardinals,2011,7,,"$113,000,000","$16,142,857","$20,000,000",,13.4%,,"$282,746,417","$40,392,345","$50,043,614"
CeeDee Lamb,Cowboys,2024,4,,"$136,000,000","$34,000,000","$67,000,000",,13.3%,,"$160,388,410","$40,097,103","$79,014,879"
Cooper Kupp,Rams,2022,3,,"$80,100,000","$26,700,000","$35,000,000",,12.8%,,"$115,879,539","$38,626,513","$50,634,006"
A.J. Brown,Eagles,2024,3,,"$96,000,000","$32,000,000","$51,000,000",,12.5%,,"$113,215,348","$37,738,449","$60,145,654"
A.J. Brown,Eagles,2022,4,,"$100,000,000","$25,000,000","$40,000,000",,12.0%,,"$144,668,588","$36,167,147","$57,867,435"
Marvin Harrison,Colts,2004,7,,"$67,000,000","$9,571,429","$6,000,000",,11.9%,,"$250,433,099","$35,776,159","$22,426,845"
D.K. Metcalf,Steelers,2025,4,,"$131,999,529","$32,999,882","$60,000,471",,11.8%,,"$142,400,638","$35,600,159","$64,728,302"
Amon-Ra St. Brown,Lions,2024,4,,"$120,010,000","$30,002,500","$34,666,000",,11.7%,,"$141,530,979","$35,382,745","$40,882,534"
Tyreek Hill,Dolphins,2024,3,,"$90,000,000","$30,000,000","$54,000,000",,11.7%,,"$106,139,389","$35,379,796","$63,683,634"
Brandon Aiyuk,49ers,2024,4,,"$120,000,000","$30,000,000","$45,000,000",,11.7%,,"$141,519,186","$35,379,796","$53,069,695"
Julio Jones,TEN/ATL,2019,3,,"$66,000,000","$22,000,000","$64,000,000",,11.7%,,"$105,628,055","$35,209,352","$102,427,205"
