=== CHECK 1: Active PID duplicates per (display_name, school_canonical) ===

display_name             school_canonical        position_group  prospect_id  is_active
-----------------------  ----------------------  --------------  -----------  ---------
Aamil Wagner             Notre Dame              OL              224          1
Aamil Wagner             Notre Dame              LB              1783         1
Aaron Anderson           Louisiana State         WR              195          1
Aaron Anderson           Louisiana State         LB              1784         1
Adam Randall             Clemson                 LB              118          1
Adam Randall             Clemson                 RB              3746         1
Aidan Hubbard            Northwestern            EDGE            459          1
Aidan Hubbard            Northwestern            DT              1635         1
Akheem Mesidor           Miami                   EDGE            80           1
Akheem Mesidor           Miami                   LB              476          1
Akheem Mesidor           Miami                   DT              1636         1
Alan Herron              Maryland                LB              209          1
Alan Herron              Maryland                OL              3952         1
Albert Regis             Texas A&M               DT              344          1
Albert Regis             Texas A&M               LB              1094         1
Alex Harkey              Oregon                  LB              170          1
Alex Harkey              Oregon                  OL              3715         1
Anez Cooper              Miami                   LB              261          1
Anez Cooper              Miami                   OL              4003         1
Anthony Lucas            Southern California     EDGE            167          1
Anthony Lucas            Southern California     LB              1828         1
Antonio Williams         Clemson                 WR              63           1
Antonio Williams         Clemson                 LB              1830         1
Ar'Maj Reed-adams        Texas A&M               OL              3649         1
Ar'Maj Reed-adams        Texas A&M               LB              4464         1
Austin Barber            Florida                 OL              53           1
Austin Barber            Florida                 LB              1836         1
Avieon Terrell           Clemson                 CB              33           1
Avieon Terrell           Clemson                 LB              484          1
Beau Stephens            Iowa                    LB              119          1
Beau Stephens            Iowa                    OL              3584         1
Ben Bell                 Virginia Tech           LB              1844         1
Ben Bell                 Virginia Tech           EDGE            4211         1
Billy Schrauth           Notre Dame              OL              183          1
Billy Schrauth           Notre Dame              LB              1853         1
Bishop Fitzgerald        Southern California     S               306          1
Bishop Fitzgerald        Southern California     LB              1854         1
Blake Miller             Clemson                 OL              96           1
Blake Miller             Clemson                 LB              487          1
Bobby Jamison-travis     Auburn                  DT              4008         1
Bobby Jamison-travis     Auburn                  LB              4231         1
Brandon Cisse            South Carolina          CB              71           1
Brandon Cisse            South Carolina          LB              489          1
Brandon Cleveland        NC State                DT              3807         1
Brandon Cleveland        NC State                EDGE            4059         1
Brandon Cleveland        North Carolina State    DT              1023         1
Brandon Cleveland        North Carolina State    EDGE            1703         1
Brandon Cleveland        North Carolina State    LB              1869         1
Brenen Thompson          Mississippi State       WR              103          1
Brenen Thompson          Mississippi State       LB              1882         1
Brian Parker             Duke                    OL              184          1
Brian Parker             Duke                    LB              1114         1
Bryce Foster             Kansas                  OL              677          1
Bryce Foster             Kansas                  LB              4488         1
Bryce Lance              North Dakota State      WR              153          1
Bryce Lance              North Dakota State      LB              1899         1
Bryson Eason             Tennessee               DT              345          1
Bryson Eason             Tennessee               LB              1119         1
Bud Clark                Texas Christian         LB              44           1
Bud Clark                Texas Christian         S               3590         1
CJ Daniels               Miami                   WR              3998         1
CJ Daniels               Miami                   LB              4427         1
Cade Klubnik             Clemson                 EDGE            112          1
Cade Klubnik             Clemson                 QB              3569         1
Cade Klubnik             Clemson                 LB              4468         1
Caden Curry              Ohio State              EDGE            113          1
Caden Curry              Ohio State              LB              1904         1
Caleb Banks              Florida                 DT              75           1
Caleb Banks              Florida                 LB              357          1
Caleb Downs              Ohio State              S               28           1
Caleb Downs              Ohio State              LB              492          1
Caleb Lomu               Utah                    OL              54           1
Caleb Lomu               Utah                    LB              493          1
Caleb Tiernan            Northwestern            OL              97           1
Caleb Tiernan            Northwestern            LB              1909         1
Cam Miller               Rutgers                 LB              496          1
Cam Miller               Rutgers                 CB              3832         1
Cam Robertson            SMU                     LB              1917         1
Cam Robertson            SMU                     EDGE            3923         1
Cam Smith                Oklahoma State          LB              1918         1
Cam Smith                Oklahoma State          CB              4510         1
Cameron Ball             Arkansas                DT              204          1
Cameron Ball             Arkansas                LB              1913         1
Carnell Tate             Ohio State              WR              31           1
Carnell Tate             Ohio State              LB              497          1
Carson Beck              Miami                   QB              138          1
Carson Beck              Miami                   LB              1922         1
Cash Jones               Georgia                 LB              1930         1
Cash Jones               Georgia                 RB              4271         1
Cashius Howell           Texas A&M               EDGE            40           1
Cashius Howell           Texas A&M               LB              498          1
Chandler Morris          Virginia                LB              1934         1
Chandler Morris          Virginia                QB              4508         1
Chandler Rivers          Duke                    CB              34           1
Chandler Rivers          Duke                    LB              1935         1
Chase Bisontis           Texas A&M               OL              21           1
Chase Bisontis           Texas A&M               LB              1941         1
Chip Trayanum            Toledo                  LB              501          1
Chip Trayanum            Toledo                  RB              3771         1
Chris Bell               Louisville              WR              64           1
Chris Bell               Louisville              LB              502          1
Chris Brazzell           Tennessee               WR              65           1
Chris Brazzell           Tennessee               LB              503          1
Chris Johnson            San Diego State         CB              35           1
Chris Johnson            San Diego State         LB              1952         1
Chris Mcclellan          Missouri                DT              161          1
Chris Mcclellan          Missouri                LB              1128         1
Christen Miller          Georgia                 DT              76           1
Christen Miller          Georgia                 LB              359          1
Cian Slone               NC State                LB              1132         1
Cian Slone               NC State                EDGE            3841         1
Clay Patterson           Stanford                LB              1962         1
Clay Patterson           Stanford                DT              3974         1
Clay Patterson           Stanford                EDGE            4491         1
Cole Brevard             Texas                   LB              507          1
Cole Brevard             Texas                   DT              3724         1
Cole Payton              North Dakota State      LB              172          1
Cole Payton              North Dakota State      QB              3970         1
Cole Wisniewski          Texas Tech              LB              263          1
Cole Wisniewski          Texas Tech              S               3650         1
Colton Hood              Tennessee               CB              72           1
Colton Hood              Tennessee               LB              510          1
Connor Lew               Auburn                  OL              225          1
Connor Lew               Auburn                  LB              362          1
Connor Tollison          Missouri                OL              1380         1
Connor Tollison          Missouri                LB              1976         1
D'Angelo Ponds           Indiana                 CB              3236         1
D'Angelo Ponds           Indiana                 LB              4347         1
DJ Campbell              Texas                   OL              3708         1
DJ Campbell              Texas                   LB              4470         1
Dae'Quan Wright          Mississippi             TE              3699         1
Dae'Quan Wright          Mississippi             LB              4480         1
Dallen Bentley           Utah                    TE              149          1
Dallen Bentley           Utah                    LB              1987         1
Dalton Johnson           Arizona                 S               421          1
Dalton Johnson           Arizona                 CB              1553         1
Dametrious Crownover     Texas A&M               OL              133          1
Dametrious Crownover     Texas A&M               LB              1989         1
Damonic Williams         Oklahoma                DT              346          1
Damonic Williams         Oklahoma                LB              1990         1
Dan Villari              Syracuse                LB              513          1
Dan Villari              Syracuse                TE              3834         1
Dane Key                 Nebraska                LB              363          1
Dane Key                 Nebraska                WR              3748         1
Dani Dennis-sutton       Penn State              EDGE            3668         1
Dani Dennis-sutton       Penn State              LB              4380         1
Darrell Jackson          Florida State           DT              77           1
Darrell Jackson          Florida State           LB              1147         1
Dasan Mccullough         Nebraska                EDGE            1719         1
Dasan Mccullough         Nebraska                LB              4544         1
David Bailey             Texas Tech              EDGE            41           1
David Bailey             Texas Tech              LB              515          1
David Gusta              Kentucky                DT              1026         1
David Gusta              Kentucky                LB              2003         1
Davison Igbinosun        Ohio State              CB              36           1
Davison Igbinosun        Ohio State              LB              2005         1
Daylen Everette          Georgia                 CB              107          1
Daylen Everette          Georgia                 LB              2007         1
Dayon Hayes              Texas A&M               LB              2008         1
Dayon Hayes              Texas A&M               EDGE            4507         1
De'Zhaun Stribling       Mississippi             WR              3557         1
De'Zhaun Stribling       Mississippi             LB              4429         1
Dean Connors             Houston                 EDGE            1723         1
Dean Connors             Houston                 RB              4214         1
Deion Burks              Oklahoma                WR              104          1
Deion Burks              Oklahoma                LB              2011         1
Demond Claiborne         Wake Forest             RB              191          1
Demond Claiborne         Wake Forest             LB              2014         1
Demonte Capehart         Clemson                 DT              162          1
Demonte Capehart         Clemson                 LB              1148         1
Denzel Boston            Washington              WR              66           1
Denzel Boston            Washington              LB              518          1
Derrick Moore            Michigan                EDGE            81           1
Derrick Moore            Michigan                LB              364          1
Deshon Singleton         Nebraska                S               307          1
Deshon Singleton         Nebraska                CB              1564         1
Deven Eastern            Minnesota               DT              255          1
Deven Eastern            Minnesota               LB              2024         1
Devin Moore              Florida                 CB              37           1
Devin Moore              Florida                 LB              2026         1
Devonta Smith            Notre Dame              CB              446          1
Devonta Smith            Notre Dame              WR              918          1
Dillon Thieneman         Oregon                  S               29           1
Dillon Thieneman         Oregon                  LB              520          1
Dj Campbell              Texas                   OL              121          1
Dj Campbell              Texas                   LB              4566         1
Domani Jackson           Alabama                 CB              108          1
Domani Jackson           Alabama                 LB              2035         1
Domonique Orange         Iowa State              DT              110          1
Domonique Orange         Iowa State              LB              1153         1
Dontay Corleone          Cincinnati              DT              163          1
Dontay Corleone          Cincinnati              LB              1154         1
Drew Allar               Penn State              LB              85           1
Drew Allar               Penn State              QB              3676         1
Drew Shelton             Penn State              LB              86           1
Drew Shelton             Penn State              OL              3706         1
Drew Stevens             Iowa                    LB              1158         1
Drew Stevens             Iowa                    ST              4018         1
Duce Chestnut            Syracuse                LB              366          1
Duce Chestnut            Syracuse                CB              3948         1
Duce Chestnut            Syracuse                S               4070         1
Dylan Barrett            Iowa State              OL              3271         1
Dylan Barrett            Iowa State              LB              4523         1
Eli Heidenreich          Navy                    LB              213          1
Eli Heidenreich          Navy                    RB              3836         1
Eli Heidenreich          Navy                    WR              4032         1
Eli Heidenreich          Navy                    FB              4204         1
Eli Raridon              Notre Dame              LB              87           1
Eli Raridon              Notre Dame              TE              3675         1
Eli Stowers              Vanderbilt              LB              17           1
Eli Stowers              Vanderbilt              TE              3637         1
Elijah Sarratt           Indiana                 WR              67           1
Elijah Sarratt           Indiana                 LB              2075         1
Emmanuel Mcneil-warren   Toledo                  S               3528         1
Emmanuel Mcneil-warren   Toledo                  LB              4331         1
Emmanuel Pregnon         Oregon                  OL              55           1
Emmanuel Pregnon         Oregon                  LB              527          1
Emmett Johnson           Nebraska                RB              59           1
Emmett Johnson           Nebraska                LB              2083         1
Ephesians Prysock        Washington              CB              203          1
Ephesians Prysock        Washington              LB              2087         1
Eric Mcalister           Texas Christian         LB              173          1
Eric Mcalister           Texas Christian         WR              3800         1
Eric Rivers              Georgia Tech            LB              122          1
Eric Rivers              Georgia Tech            WR              3651         1
Evan Beerntsen           Northwestern            LB              368          1
Evan Beerntsen           Northwestern            OL              3875         1
Febechi Nwaiwu           Oklahoma                OL              404          1
Febechi Nwaiwu           Oklahoma                LB              1169         1
Fernando Carmona         Arkansas                OL              186          1
Fernando Carmona         Arkansas                LB              2102         1
Fernando Mendoza         Indiana                 QB              57           1
Fernando Mendoza         Indiana                 LB              533          1
Francis Mauigoa          Miami                   OL              22           1
Francis Mauigoa          Miami                   LB              535          1
Fred Davis               Northwestern            EDGE            1067         1
Fred Davis               Northwestern            CB              3821         1
Garrett Nussmeier        Louisiana State         QB              58           1
Garrett Nussmeier        Louisiana State         LB              2114         1
Gary Smith               UCLA                    LB              214          1
Gary Smith               UCLA                    DT              1653         1
Gavin Gerhardt           Cincinnati              OL              3292         1
Gavin Gerhardt           Cincinnati              LB              4553         1
Genesis Smith            Arizona                 S               147          1
Genesis Smith            Arizona                 LB              2123         1
Gennings Dunker          Iowa                    OL              56           1
Gennings Dunker          Iowa                    LB              2124         1
